Date,total_property_crimes,total_public_order_crimes,total_violent_crimes,total_crimes
2023-09-12,233,114,83,430
2023-09-13,213,109,106,428
2023-09-14,203,119,75,397
2023-09-15,239,104,69,412
2023-09-16,172,80,68,320
2023-09-17,155,79,77,311
2023-09-18,155,85,52,292
2023-09-19,200,98,66,364
2023-09-20,201,111,93,405
2023-09-21,189,131,68,388
2023-09-22,189,102,88,379
2023-09-23,178,70,69,317
2023-09-24,163,80,66,309
2023-09-25,190,89,63,342
2023-09-26,175,96,61,332
2023-09-27,198,132,67,397
2023-09-28,194,115,73,382
2023-09-29,176,88,71,335
2023-09-30,209,94,56,359
2023-10-01,207,105,76,388
2023-10-02,215,87,61,363
2023-10-03,209,126,68,403
2023-10-04,205,143,83,431
2023-10-05,212,107,72,391
2023-10-06,233,121,85,439
2023-10-07,188,88,65,341
2023-10-08,160,83,56,299
2023-10-09,172,102,59,333
2023-10-10,194,129,58,381
2023-10-11,214,122,66,402
2023-10-12,189,108,69,366
2023-10-13,200,112,79,391
2023-10-14,184,76,61,321
2023-10-15,180,97,69,346
2023-10-16,179,111,74,364
2023-10-17,187,124,82,393
2023-10-18,192,96,72,360
2023-10-19,193,112,75,380
2023-10-20,205,110,74,389
2023-10-21,204,90,69,363
2023-10-22,194,96,80,370
2023-10-23,197,89,60,346
2023-10-24,189,113,64,366
2023-10-25,205,103,74,382
2023-10-26,209,98,85,392
2023-10-27,195,120,64,379
2023-10-28,206,84,96,386
2023-10-29,179,91,97,367
2023-10-30,208,96,61,365
2023-10-31,225,108,83,416
2023-11-01,245,134,91,470
2023-11-02,186,118,67,371
2023-11-03,221,95,60,376
2023-11-04,196,83,68,347
2023-11-05,155,81,69,305
2023-11-06,234,96,63,393
2023-11-07,223,109,79,411
2023-11-08,227,135,65,427
2023-11-09,212,109,74,395
2023-11-10,190,100,73,363
2023-11-11,185,89,83,357
2023-11-12,155,87,66,308
2023-11-13,186,95,60,341
2023-11-14,208,116,70,394
2023-11-15,191,131,71,393
2023-11-16,187,129,68,384
2023-11-17,216,119,69,404
2023-11-18,198,103,97,398
2023-11-19,145,61,64,270
2023-11-20,199,94,57,350
2023-11-21,181,91,63,335
2023-11-22,201,76,61,338
2023-11-23,151,70,60,281
2023-11-24,213,90,63,366
2023-11-25,200,78,71,349
2023-11-26,165,72,60,297
2023-11-27,194,93,57,344
2023-11-28,174,102,60,336
2023-11-29,228,95,63,386
2023-11-30,206,95,70,371
2023-12-01,206,146,56,408
2023-12-02,217,104,72,393
2023-12-03,162,69,71,302
2023-12-04,206,76,81,363
2023-12-05,205,112,61,378
2023-12-06,212,108,65,385
2023-12-07,167,114,51,332
2023-12-08,198,88,66,352
2023-12-09,203,108,72,383
2023-12-10,189,79,66,334
2023-12-11,184,89,55,328
2023-12-12,196,114,58,368
2023-12-13,200,91,66,357
2023-12-14,164,90,73,327
2023-12-15,195,84,85,364
2023-12-16,218,117,86,421
2023-12-17,153,71,63,287
2023-12-18,214,77,59,350
2023-12-19,202,105,56,363
2023-12-20,185,107,66,358
2023-12-21,213,103,55,371
2023-12-22,202,91,46,339
2023-12-23,192,79,72,343
2023-12-24,132,58,70,260
2023-12-25,87,64,56,207
2023-12-26,177,90,49,316
2023-12-27,187,102,56,345
2023-12-28,175,85,70,330
2023-12-29,217,107,58,382
2023-12-30,212,65,82,359
2023-12-31,184,61,69,314
