Date,apparent_temperature_max,daylight_hours,precipitation_hours
2023-06-16,82.0,15.1,3.0
2023-06-17,75.3,15.1,0.0
2023-06-18,81.7,15.1,0.0
2023-06-19,84.1,15.1,0.0
2023-06-20,79.8,15.1,0.0
2023-06-21,71.0,15.1,0.0
2023-06-22,68.8,15.1,0.0
2023-06-23,74.1,15.1,3.0
2023-06-24,83.7,15.1,6.0
2023-06-25,94.2,15.1,0.0
2023-06-26,88.0,15.1,3.0
2023-06-27,82.9,15.1,3.0
2023-06-28,85.1,15.1,0.0
2023-06-29,87.3,15.1,0.0
2023-06-30,88.8,15.1,0.0
2023-07-01,86.6,15.0,0.0
2023-07-02,94.4,15.0,0.0
2023-07-03,99.3,15.0,0.0
2023-07-04,95.9,15.0,3.0
2023-07-05,101.2,15.0,0.0
2023-07-06,97.5,15.0,0.0
2023-07-07,97.0,15.0,0.0
2023-07-08,97.5,15.0,0.0
2023-07-09,90.7,14.9,3.0
2023-07-10,88.4,14.9,3.0
2023-07-11,96.8,14.9,0.0
2023-07-12,99.3,14.9,0.0
2023-07-13,96.1,14.9,0.0
2023-07-14,92.5,14.8,0.0
2023-07-15,101.5,14.8,0.0
2023-07-16,89.8,14.8,9.0
2023-07-17,101.4,14.8,0.0
2023-07-18,90.9,14.7,3.0
2023-07-19,87.8,14.7,0.0
2023-07-20,92.3,14.7,0.0
2023-07-21,92.7,14.7,0.0
2023-07-22,89.4,14.6,0.0
2023-07-23,91.6,14.6,0.0
2023-07-24,92.0,14.6,0.0
2023-07-25,94.0,14.5,6.0
2023-07-26,96.7,14.5,0.0
2023-07-27,99.7,14.5,3.0
2023-07-28,101.7,14.5,0.0
2023-07-29,98.7,14.4,0.0
2023-07-30,81.2,14.4,0.0
2023-07-31,83.9,14.4,0.0
2023-08-01,82.5,14.3,0.0
2023-08-02,81.0,14.3,0.0
2023-08-03,81.6,14.3,0.0
2023-08-04,81.0,14.2,0.0
2023-08-05,90.8,14.2,0.0
