date,apparent_temperature_max,daylight_duration,precipitation_hours
2023-03-31 01:00:00-04:00,48.248573,45495.043,0.0
2023-04-01 01:00:00-04:00,63.50451,45657.918,3.0
2023-04-02 01:00:00-04:00,42.93822,45820.2,0.0
2023-04-03 01:00:00-04:00,50.91397,45981.79,0.0
2023-04-04 01:00:00-04:00,72.16072,46142.566,0.0
2023-04-05 01:00:00-04:00,54.4623,46302.438,0.0
2023-04-06 01:00:00-04:00,78.39921,46461.27,3.0
2023-04-07 01:00:00-04:00,52.534588,46618.96,0.0
2023-04-08 01:00:00-04:00,50.819496,46775.8,0.0
2023-04-09 01:00:00-04:00,49.949677,46932.832,0.0
2023-04-10 01:00:00-04:00,61.851906,47090.02,0.0
2023-04-11 01:00:00-04:00,67.57217,47247.27,0.0
2023-04-12 01:00:00-04:00,77.36887,47404.473,0.0
2023-04-13 01:00:00-04:00,86.491,47561.523,0.0
2023-04-14 01:00:00-04:00,89.16782,47718.32,0.0
2023-04-15 01:00:00-04:00,75.191986,47874.75,3.0
2023-04-16 01:00:00-04:00,71.42073,48030.71,0.0
2023-04-17 01:00:00-04:00,63.1364,48186.086,0.0
2023-04-18 01:00:00-04:00,46.775463,48340.76,0.0
2023-04-19 01:00:00-04:00,56.452053,48494.625,0.0
2023-04-20 01:00:00-04:00,65.01343,48647.55,0.0
2023-04-21 01:00:00-04:00,67.37791,48799.426,0.0
2023-04-22 01:00:00-04:00,69.10792,48950.12,3.0
2023-04-23 01:00:00-04:00,62.941402,49099.51,12.0
2023-04-24 01:00:00-04:00,58.8728,49247.473,0.0
2023-04-25 01:00:00-04:00,57.037205,49393.87,0.0
2023-04-26 01:00:00-04:00,54.554165,49538.574,0.0
2023-04-27 01:00:00-04:00,52.968594,49681.438,0.0
2023-04-28 01:00:00-04:00,51.438858,49822.723,6.0
2023-04-29 01:00:00-04:00,47.554176,49963.438,24.0
2023-04-30 01:00:00-04:00,60.408806,50103.535,15.0
2023-05-01 01:00:00-04:00,58.91056,50242.895,6.0
2023-05-02 01:00:00-04:00,47.39081,50381.414,0.0
